sequence_id,length,encoding,stem_mode,min_stem_length,num_variables,num_quadratic_terms,qubo_density,representable,representable_fraction,mfe_energy
syn_20_000,20,pair,pair,,61,1229,0.6715846994535519,True,1.0,-3.0999999046325684
syn_20_000,20,stem,maximal,1.0,40,647,0.8294871794871795,True,1.0,-3.0999999046325684
syn_20_000,20,stem,maximal,2.0,10,44,0.9777777777777777,True,1.0,-3.0999999046325684
syn_20_000,20,stem,maximal,3.0,7,21,1.0,True,1.0,-3.0999999046325684
syn_20_000,20,stem,substems,1.0,98,4100,0.8626130864717021,True,1.0,-3.0999999046325684
syn_20_000,20,stem,substems,2.0,37,655,0.9834834834834835,True,1.0,-3.0999999046325684
syn_20_000,20,stem,substems,3.0,16,120,1.0,True,1.0,-3.0999999046325684
syn_20_001,20,pair,pair,,54,958,0.6694619147449337,True,1.0,-3.0
syn_20_001,20,stem,maximal,1.0,36,533,0.846031746031746,True,1.0,-3.0
syn_20_001,20,stem,maximal,2.0,13,73,0.9358974358974359,True,1.0,-3.0
syn_20_001,20,stem,maximal,3.0,4,6,1.0,False,0.6666666666666666,-3.0
syn_20_001,20,stem,substems,1.0,78,2506,0.8344988344988346,True,1.0,-3.0
syn_20_001,20,stem,substems,2.0,24,264,0.9565217391304348,True,1.0,-3.0
syn_20_001,20,stem,substems,3.0,6,15,1.0,False,0.6666666666666666,-3.0
syn_20_002,20,pair,pair,,61,1174,0.6415300546448087,True,1.0,-4.0
syn_20_002,20,stem,maximal,1.0,38,591,0.8406827880512091,True,1.0,-4.0
syn_20_002,20,stem,maximal,2.0,18,147,0.9607843137254902,True,1.0,-4.0
syn_20_002,20,stem,maximal,3.0,5,10,1.0,False,0.6,-4.0
syn_20_002,20,stem,substems,1.0,89,3166,0.8084780388151175,True,1.0,-4.0
syn_20_002,20,stem,substems,2.0,28,365,0.9656084656084656,True,1.0,-4.0
syn_20_002,20,stem,substems,3.0,5,10,1.0,False,0.6,-4.0
syn_20_003,20,pair,pair,,69,1583,0.6747655583972719,True,1.0,-5.0
syn_20_003,20,stem,maximal,1.0,38,608,0.8648648648648649,True,1.0,-5.0
syn_20_003,20,stem,maximal,2.0,17,133,0.9779411764705882,True,1.0,-5.0
syn_20_003,20,stem,maximal,3.0,8,28,1.0,True,1.0,-5.0
syn_20_003,20,stem,substems,1.0,123,6558,0.8740503798480608,True,1.0,-5.0
syn_20_003,20,stem,substems,2.0,54,1415,0.9888190076869322,True,1.0,-5.0
syn_20_003,20,stem,substems,3.0,23,253,1.0,True,1.0,-5.0
syn_20_004,20,pair,pair,,40,509,0.6525641025641026,True,1.0,-3.5
syn_20_004,20,stem,maximal,1.0,33,432,0.8181818181818182,True,1.0,-3.5
syn_20_004,20,stem,maximal,2.0,5,10,1.0,True,1.0,-3.5
syn_20_004,20,stem,maximal,3.0,1,0,0.0,True,1.0,-3.5
syn_20_004,20,stem,substems,1.0,50,994,0.8114285714285714,True,1.0,-3.5
syn_20_004,20,stem,substems,2.0,10,45,1.0,True,1.0,-3.5
syn_20_004,20,stem,substems,3.0,3,3,1.0,True,1.0,-3.5
syn_30_000,30,pair,pair,,125,4217,0.5441290322580645,True,1.0,-5.099999904632568
syn_30_000,30,stem,maximal,1.0,84,2396,0.6873207114170969,True,1.0,-5.099999904632568
syn_30_000,30,stem,maximal,2.0,28,341,0.9021164021164021,True,1.0,-5.099999904632568
syn_30_000,30,stem,maximal,3.0,8,28,1.0,True,1.0,-5.099999904632568
syn_30_000,30,stem,substems,1.0,186,12195,0.7088055797733217,True,1.0,-5.099999904632568
syn_30_000,30,stem,substems,2.0,61,1674,0.9147540983606557,True,1.0,-5.099999904632568
syn_30_000,30,stem,substems,3.0,20,190,1.0,True,1.0,-5.099999904632568
syn_30_001,30,pair,pair,,150,6072,0.5433557046979866,True,1.0,-8.899999618530273
syn_30_001,30,stem,maximal,1.0,98,3185,0.6701030927835051,True,1.0,-8.899999618530273
syn_30_001,30,stem,maximal,2.0,35,506,0.8504201680672269,False,0.8888888888888888,-8.899999618530273
syn_30_001,30,stem,maximal,3.0,11,54,0.9818181818181818,False,0.8888888888888888,-8.899999618530273
syn_30_001,30,stem,substems,1.0,228,18244,0.7050003864286266,True,1.0,-8.899999618530273
syn_30_001,30,stem,substems,2.0,78,2683,0.8934398934398934,False,0.8888888888888888,-8.899999618530273
syn_30_001,30,stem,substems,3.0,26,320,0.9846153846153847,False,0.8888888888888888,-8.899999618530273
syn_30_002,30,pair,pair,,141,5482,0.5554204660587639,True,1.0,-8.600000381469727
syn_30_002,30,stem,maximal,1.0,91,2874,0.7018315018315018,True,1.0,-8.600000381469727
syn_30_002,30,stem,maximal,2.0,28,293,0.7751322751322751,True,1.0,-8.600000381469727
syn_30_002,30,stem,maximal,3.0,11,55,1.0,True,1.0,-8.600000381469727
syn_30_002,30,stem,substems,1.0,229,19263,0.7378763502643071,True,1.0,-8.600000381469727
syn_30_002,30,stem,substems,2.0,88,3496,0.9132706374085684,True,1.0,-8.600000381469727
syn_30_002,30,stem,substems,3.0,38,702,0.9985775248933144,True,1.0,-8.600000381469727
syn_30_003,30,pair,pair,,126,4205,0.533968253968254,True,1.0,-4.900000095367432
syn_30_003,30,stem,maximal,1.0,94,2923,0.6687256920613132,True,1.0,-4.900000095367432
syn_30_003,30,stem,maximal,2.0,22,199,0.8614718614718615,False,0.875,-4.900000095367432
syn_30_003,30,stem,maximal,3.0,7,21,1.0,False,0.875,-4.900000095367432
syn_30_003,30,stem,substems,1.0,171,9900,0.6811145510835913,True,1.0,-4.900000095367432
syn_30_003,30,stem,substems,2.0,45,888,0.896969696969697,False,0.875,-4.900000095367432
syn_30_003,30,stem,substems,3.0,13,78,1.0,False,0.875,-4.900000095367432
syn_30_004,30,pair,pair,,120,3962,0.5549019607843138,True,1.0,-10.199999809265137
syn_30_004,30,stem,maximal,1.0,89,2753,0.7030132788559755,True,1.0,-10.199999809265137
syn_30_004,30,stem,maximal,2.0,21,191,0.9095238095238095,True,1.0,-10.199999809265137
syn_30_004,30,stem,maximal,3.0,7,19,0.9047619047619048,True,1.0,-10.199999809265137
syn_30_004,30,stem,substems,1.0,165,9463,0.6994087213599409,True,1.0,-10.199999809265137
syn_30_004,30,stem,substems,2.0,45,848,0.8565656565656565,True,1.0,-10.199999809265137
syn_30_004,30,stem,substems,3.0,14,70,0.7692307692307693,True,1.0,-10.199999809265137
syn_40_000,40,pair,pair,,247,14954,0.4922155294427438,True,1.0,-9.300000190734863
syn_40_000,40,stem,maximal,1.0,164,7999,0.5984587759988029,True,1.0,-9.300000190734863
syn_40_000,40,stem,maximal,2.0,58,1264,0.764670296430732,True,1.0,-9.300000190734863
syn_40_000,40,stem,maximal,3.0,15,97,0.9238095238095239,False,0.7777777777777778,-9.300000190734863
syn_40_000,40,stem,substems,1.0,366,41376,0.6194475634403773,True,1.0,-9.300000190734863
syn_40_000,40,stem,substems,2.0,119,5572,0.7936191425722832,True,1.0,-9.300000190734863
syn_40_000,40,stem,substems,3.0,36,567,0.9,False,0.7777777777777778,-9.300000190734863
syn_40_001,40,pair,pair,,283,19891,0.4984838232714332,True,1.0,-11.199999809265137
syn_40_001,40,stem,maximal,1.0,170,9011,0.6272885485555169,True,1.0,-11.199999809265137
syn_40_001,40,stem,maximal,2.0,68,1779,0.7809482001755926,True,1.0,-11.199999809265137
syn_40_001,40,stem,maximal,3.0,28,328,0.8677248677248677,True,1.0,-11.199999809265137
syn_40_001,40,stem,substems,1.0,465,67011,0.621162402669633,True,1.0,-11.199999809265137
syn_40_001,40,stem,substems,2.0,182,12638,0.7672879606581264,True,1.0,-11.199999809265137
syn_40_001,40,stem,substems,3.0,69,2099,0.8947144075021313,True,1.0,-11.199999809265137
syn_40_002,40,pair,pair,,275,18741,0.4974386197743862,True,1.0,-10.199999809265137
syn_40_002,40,stem,maximal,1.0,165,8393,0.6203252032520326,True,1.0,-10.199999809265137
syn_40_002,40,stem,maximal,2.0,61,1424,0.7781420765027323,True,1.0,-10.199999809265137
syn_40_002,40,stem,maximal,3.0,28,317,0.8386243386243386,False,0.8333333333333334,-10.199999809265137
syn_40_002,40,stem,substems,1.0,467,68997,0.6340994936173733,True,1.0,-10.199999809265137
syn_40_002,40,stem,substems,2.0,192,14094,0.768651832460733,True,1.0,-10.199999809265137
syn_40_002,40,stem,substems,3.0,82,2744,0.8262571514604035,False,0.8333333333333334,-10.199999809265137
syn_40_003,40,pair,pair,,215,11550,0.5020647685285807,True,1.0,-8.5
syn_40_003,40,stem,maximal,1.0,151,7031,0.6208388520971302,True,1.0,-8.5
syn_40_003,40,stem,maximal,2.0,43,730,0.8084163898117387,True,1.0,-8.5
syn_40_003,40,stem,maximal,3.0,16,102,0.85,True,1.0,-8.5
syn_40_003,40,stem,substems,1.0,306,29028,0.622050787528126,True,1.0,-8.5
syn_40_003,40,stem,substems,2.0,91,3303,0.8065934065934066,True,1.0,-8.5
syn_40_003,40,stem,substems,3.0,27,313,0.8917378917378918,True,1.0,-8.5
syn_40_004,40,pair,pair,,259,17011,0.5091436951902069,True,1.0,-8.399999618530273
syn_40_004,40,stem,maximal,1.0,169,8714,0.6138348830656523,True,1.0,-8.399999618530273
syn_40_004,40,stem,maximal,2.0,57,1257,0.7875939849624061,False,0.9090909090909091,-8.399999618530273
syn_40_004,40,stem,maximal,3.0,23,235,0.9288537549407114,False,0.9090909090909091,-8.399999618530273
syn_40_004,40,stem,substems,1.0,394,50118,0.6473437439454411,True,1.0,-8.399999618530273
syn_40_004,40,stem,substems,2.0,135,7425,0.8208955223880597,False,0.9090909090909091,-8.399999618530273
syn_40_004,40,stem,substems,3.0,45,915,0.9242424242424242,False,0.9090909090909091,-8.399999618530273
