sequence_id,sequence_length,candidate_count,pearson,spearman,kendall_tau,top1_match,top5_overlap,regret_kcal_mol,best_qubo_candidate_vienna_energy,best_vienna_candidate_energy
syn_30_000,30,4,0.9823612902400402,1.0,1.0,True,1.0,0.0,-5.699999809265137,-5.699999809265137
syn_30_001,30,1,nan,nan,nan,True,1.0,0.0,-4.800000190734863,-4.800000190734863
syn_30_002,30,2,nan,nan,nan,True,1.0,0.0,-9.100000381469727,-9.100000381469727
syn_30_003,30,3,0.9996427203531089,1.0,1.0,True,1.0,0.0,-8.600000381469727,-8.600000381469727
syn_30_004,30,4,0.9999758203511713,1.0,1.0,True,1.0,0.0,-8.100000381469727,-8.100000381469727
syn_30_005,30,6,0.9863646174261047,1.0,0.9999999999999999,True,1.0,0.0,-9.899999618530273,-9.899999618530273
syn_40_000,40,23,0.9810965050069607,0.9880894517039711,0.9330647998258779,True,1.0,0.0,-7.900000095367432,-7.900000095367432
syn_40_001,40,3,0.9995544041451063,1.0,1.0,True,1.0,0.0,-11.300000190734863,-11.300000190734863
syn_40_002,40,5,0.8750718437938332,0.7,0.6,True,1.0,0.0,-6.0,-6.0
syn_40_003,40,16,0.8682524559441601,0.7908689248895433,0.5882352941176471,True,0.6,0.0,-8.100000381469727,-8.100000381469727
syn_40_004,40,17,0.9592879471824203,0.953374950788746,0.8444676125979927,True,0.8,0.0,-13.899999618530273,-13.899999618530273
syn_40_005,40,7,0.9877144244477798,0.991031208965115,0.9759000729485333,True,1.0,0.0,-9.5,-9.5
syn_50_000,50,26,0.896212416547959,0.7836727823140209,0.5972013443032942,True,0.8,0.0,-10.100000381469727,-10.100000381469727
syn_50_001,50,6,0.9959302997927829,0.942857142857143,0.8666666666666666,True,1.0,0.0,-9.199999809265137,-9.199999809265137
syn_50_002,50,9,0.8423169736378437,0.8619322310183947,0.760638829255665,True,0.8,0.0,-5.699999809265137,-5.699999809265137
syn_50_003,50,9,0.9870850354395738,0.9833333333333333,0.9444444444444445,True,1.0,0.0,-12.899999618530273,-12.899999618530273
syn_50_004,50,15,0.9356383190553481,0.9571428571428571,0.8857142857142857,True,0.8,0.0,-8.0,-8.0
syn_50_005,50,17,0.9700532329107427,0.9625998130564097,0.8634745134015929,True,1.0,0.0,-9.399999618530273,-9.399999618530273
syn_60_000,60,29,0.9676776339557522,0.9498521439132579,0.8415841584158417,True,0.8,0.0,-14.0,-14.0
syn_60_001,60,21,0.9235333320114091,0.8806504530716096,0.7373515382569562,True,1.0,0.0,-12.5,-12.5
syn_60_002,60,34,0.9618635952905008,0.8602127907099685,0.7225412885492198,True,1.0,0.0,-14.800000190734863,-14.800000190734863
syn_60_003,60,47,0.9286694879197178,0.9146881058800446,0.7668683938690016,True,0.6,0.0,-12.199999809265137,-12.199999809265137
syn_60_004,60,29,0.9151592760571412,0.7814079704314688,0.6417930304758029,False,0.8,0.5,-11.399999618530273,-11.899999618530273
syn_60_005,60,32,0.9805348338042279,0.9561710597954799,0.8571538557395467,True,1.0,0.0,-15.899999618530273,-15.899999618530273
syn_80_000,80,46,0.990860038659557,0.9835878830453784,0.9114854993183045,False,1.0,1.5,-13.600000381469727,-15.100000381469727
syn_80_001,80,62,0.9697338211265636,0.9093324948566801,0.7995751462838308,True,1.0,0.0,-27.899999618530273,-27.899999618530273
syn_80_002,80,44,0.8852940452488737,0.9006944963482743,0.7674348092083172,False,0.6,1.7000007629394531,-12.399999618530273,-14.100000381469727
syn_80_003,80,66,0.9506982218718154,0.8582689616515675,0.6990414863331168,True,1.0,0.0,-23.299999237060547,-23.299999237060547
syn_80_004,80,96,0.9652430196929527,0.9612668539822745,0.8507831799051283,True,0.6,0.0,-24.100000381469727,-24.100000381469727
syn_80_005,80,69,0.9433547515364848,0.8765660247600613,0.7409849187689205,False,1.0,0.09999847412109375,-20.700000762939453,-20.799999237060547
